dataset,localgov
jp-472018,那覇市
jp-472051,宜野湾市
jp-472077,石垣市
jp-472085,浦添市
jp-472093,名護市
jp-472107,糸満市
jp-472115,沖縄市
jp-472123,豊見城市
jp-472131,うるま市
jp-472140,宮古島市
jp-472158,南城市
jp-473014,国頭村
jp-473022,大宜味村
jp-473031,東村
jp-473065,今帰仁村
jp-473081,本部町
jp-473111,恩納村
jp-473138,宜野座村
jp-473146,金武町
jp-473154,伊江村
jp-473243,読谷村
jp-473251,嘉手納町
jp-473260,北谷町
jp-473278,北中城村
jp-473286,中城村
jp-473294,西原町
jp-473481,与那原町
jp-473502,南風原町
jp-473537,渡嘉敷村
jp-473545,座間味村
jp-473553,粟国村
jp-473561,渡名喜村
jp-473570,南大東村
jp-473588,北大東村
jp-473596,伊平屋村
jp-473600,伊是名村
jp-473618,久米島町
jp-473626,八重瀬町
jp-473758,多良間村
jp-473812,竹富町
jp-473821,与那国町
